Gene	Protein	cis_trans_position_1mb_coding_region	nSamples	nCarriers	nNonCarriers	p-value	beta	lower	upper	se	model	Panel	Olink Assay	pan_p	pan_beta	Gene_chr	Gene_Start	Gene_end
CFHR4	CFHR4	cis-position, cis-gene	45608	150	45458	7.87e-28	-0.890901359	-1.050488273	-0.731314446	0.081421229	flexdmg	InflammationII	CFHR4:Q92496:OID30758:v1:InflammationII	5.31563E-31	-0.896183089	1	196888014	196918795
SIGLEC1	ANGPTL2	trans-position, trans-gene	45306	496	44810	7.91e-28	0.482786222	0.396301743	0.569270701	0.044124366	flexdmg	Inflammation	ANGPTL2:Q9UKU9:OID20726:v1:Inflammation	1.18337E-29	0.481433084	20	3686970	3712600
PKLR	PKLR	cis-position, cis-gene	45310	243	45067	8.45e-28	-0.689558745	-0.813151019	-0.56596647	0.063056756	flexdmg	Inflammation	PKLR:P30613:OID20682:v1:Inflammation	2.62175E-26	-0.636533445	1	155289293	155301438
RARRES2	RARRES2	cis-position, cis-gene	45509	121	45388	1.04e-27	-0.964306432	-1.137438455	-0.791174408	0.088331938	flexnonsynmtr	Cardiometabolic	RARRES2:Q99969:OID20373:v1:Cardiometabolic	2.57028E-27	-0.938964561	7	150338317	150341662
IFNAR1	IFNAR1	cis-position, cis-gene	45423	61	45362	1.12e-27	-1.376935383	-1.624303434	-1.129567332	0.126207144	flexdmg	OncologyII	IFNAR1:P17181:OID31491:v1:OncologyII	4.10614E-33	-1.436978449	21	33324387	33359864
OMD	OMD	cis-position, cis-gene	45452	52	45400	1.22e-27	-1.435485976	-1.693565283	-1.177406668	0.131672028	ptvraredmg	Inflammation	OMD:Q99983:OID20725:v1:Inflammation	1.93293E-29	-1.423560012	9	92412380	92424471
STAB1	CLEC11A	trans-position, trans-gene	45188	1221	43967	1.49e-27	0.310476248	0.254563299	0.366389196	0.028526774	flexdmg	Neurology	CLEC11A:Q9Y240:OID21112:v1:Neurology	5.96488E-29	0.305872232	3	52495338	52524495
SFRP2	SMAD5	trans-position, trans-gene	45042	55	44987	1.74e-27	-1.424738311	-1.68164287	-1.167833753	0.131072639	ptvraredmg	Oncology	SMAD5:Q99717:OID21353:v1:Oncology	8.54096E-29	-1.410896443	4	153780590	153789076
ITGAE	ITGB7	trans-position, trans-gene	45621	470	45151	1.79e-27	-0.499790465	-0.589933612	-0.409647319	0.045991026	flexdmg	Oncology	ITGB7:P26010:OID21393:v1:Oncology	5.5423E-27	-0.478113449	17	3714625	3801243
GZMH	GZMH	cis-position, cis-gene	44454	155	44299	1.81e-27	-0.839936541	-0.991444982	-0.688428099	0.07729954	flexdmg	Cardiometabolic	GZMH:P20718:OID20096:v1:Cardiometabolic	1.60375E-30	-0.850458008	14	24606480	24609699
ACP5	ACP5	cis-position, cis-gene	45451	94	45357	2.26e-27	-1.062327812	-1.254309531	-0.870346094	0.097949047	ptvraredmg	Cardiometabolic	ACP5:P13686:OID20314:v1:Cardiometabolic	5.5122E-32	-1.118005065	19	11574660	11579008
CD163	KLK7	trans-position, trans-gene	43595	55	43540	2.33e-27	1.409412481	1.15464939	1.664175573	0.129979947	ptvraredmg	InflammationII	KLK7:P49862:OID30652:v1:InflammationII	1.38868E-26	1.29553796	12	7470811	7503893
GMPR2	GMPR2	cis-position, cis-gene	44654	117	44537	2.47e-27	-0.984632847	-1.162706399	-0.806559295	0.090853059	ptvraredmg	InflammationII	GMPR2:Q9P2T1:OID30623:v1:InflammationII	4.36923E-31	-0.998180071	14	24232422	24239242
ASGR1	COMP	trans-position, trans-gene	44763	101	44662	2.79e-27	1.018615357	0.834207221	1.203023492	0.094084967	ptvraredmg	Cardiometabolic	COMP:P49747:OID20405:v1:Cardiometabolic	9.08031E-29	1.023692111	17	7173431	7179564
STAMBP	STAMBP	cis-position, cis-gene	44842	79	44763	3.16e-27	-1.192336573	-1.408427889	-0.976245258	0.11024972	flexdmg	Neurology	STAMBP:O95630:OID20955:v1:Neurology	1.48144E-29	-1.192395107	2	73828916	73873659
CTSZ	CTSZ	cis-position, cis-gene	45291	23	45268	3.36e-27	-2.190918537	-2.58819628	-1.793640795	0.202691031	ptv	Cardiometabolic	CTSZ:Q9UBR2:OID20365:v1:Cardiometabolic	5.68292E-30	-2.211112964	20	58985686	59008238
RELT	RELT	cis-position, cis-gene	45260	96	45164	3.49e-27	-0.982743013	-1.16100095	-0.804485076	0.090947165	ptvraredmg	Neurology	RELT:Q969Z4:OID21142:v1:Neurology	5.28357E-27	-0.925335933	11	73376399	73397474
C5	C5	cis-position, cis-gene	45680	37	45643	3.56e-27	-1.766033209	-2.086421654	-1.445644765	0.163462163	ptv	InflammationII	C5:P01031:OID30744:v1:InflammationII	4.75165E-26	-1.681806584	9	120932987	121075195
CRISP3	CRISP3	cis-position, cis-gene	45313	19	45294	3.95e-27	-2.397861452	-2.833259092	-1.962463812	0.222139799	ptv	InflammationII	CRISP3:P54108:OID30715:v1:InflammationII	7.24349E-28	-2.376569225	6	49727376	49744437
GNPTAB	CTSD	trans-position, trans-gene	42322	67	42255	4.18e-27	1.256276566	1.02806371	1.484489423	0.116433939	ptv	Cardiometabolic	CTSD:P07339:OID20358:v1:Cardiometabolic	6.80793E-26	1.136489432	12	101745497	101830867
ASGR1	SLAMF7	trans-position, trans-gene	45190	105	45085	4.45e-27	1.04206597	0.852657771	1.23147417	0.096636023	ptvraredmg	Inflammation	SLAMF7:Q9NQ25:OID20602:v1:Inflammation	5.89854E-28	1.028581971	17	7173431	7179564
AAMDC	AAMDC	cis-position, cis-gene	44457	97	44360	5.17e-27	-1.081946031	-1.278853043	-0.885039019	0.100461871	flexdmg	CardiometabolicII	AAMDC:Q9H7C9:OID30236:v1:CardiometabolicII	2.28965E-27	-1.051997057	11	77821109	77918432
MANSC1	MANSC1	cis-position, cis-gene	45388	38	45350	5.9e-27	1.716793939	1.403990431	2.029597446	0.159592301	ptv	Oncology	MANSC1:Q9H8J5:OID21492:v1:Oncology	3.94673E-21	1.439633942	12	12326056	12350242
ASGR1	GAS6	trans-position, trans-gene	45523	106	45417	5.95e-27	1.016161801	0.831000543	1.20132306	0.094469253	flexdmg	Cardiometabolic	GAS6:Q14393:OID20318:v1:Cardiometabolic	6.53514E-28	1.016111734	17	7173431	7179564
TRIM21	TRIM21	cis-position, cis-gene	45190	156	45034	6.06e-27	-0.836401582	-0.988831486	-0.683971678	0.077769704	flexnonsynmtr	Inflammation	TRIM21:P19474:OID20533:v1:Inflammation	6.50652E-26	-0.772431646	11	4384897	4393702
SERPINA7	SERPINA7	cis-position, cis-gene	45680	96	45584	6.31e-27	-1.078048024	-1.274586475	-0.881509574	0.100273904	flexdmg	InflammationII	SERPINA7:P05543:OID30724:v1:InflammationII	4.75486E-25	-1.012472971	X	106032435	106038727
ADAMTS7	CTSH	cis-position, trans-gene	44310	426	43884	6.43e-27	-0.506902402	-0.599328421	-0.414476383	0.04715571	rec	Cardiometabolic	CTSH:P09668:OID20113:v1:Cardiometabolic	4.36548E-26	-0.476583408	15	78759203	78811464
VSIG1	CTSE	trans-position, trans-gene	44654	154	44500	6.49e-27	0.851555503	0.696273997	1.00683701	0.079224566	rec	InflammationII	CTSE:P14091:OID30628:v1:InflammationII	2.58297E-22	0.71600343	X	108018906	108079184
DPP6	DPP6	cis-position, cis-gene	45042	68	44974	6.58e-27	-1.247062957	-1.474493628	-1.019632286	0.116035069	ptvraredmg	Oncology	DPP6:P42658:OID21354:v1:Oncology	2.10665E-27	-1.203521609	7	153887097	154894285
PNLIP	PNLIP	cis-position, cis-gene	45669	130	45539	7.35e-27	-0.934611279	-1.105222802	-0.763999755	0.087045987	flexdmg	InflammationII	PNLIP:P16233:OID30693:v1:InflammationII	8.27015E-31	-0.953283769	10	116545931	116567855
STAB1	PLA2G10	trans-position, trans-gene	44914	715	44199	8.49e-27	0.391010045	0.319543396	0.462476694	0.036462263	ptvraredmg	Neurology	PLA2G10:O15496:OID21002:v1:Neurology	1.17796E-31	0.398950836	3	52495338	52524495
ASGR1	AXL	trans-position, trans-gene	45433	104	45329	9.06e-27	1.029784472	0.841458559	1.218110384	0.096083854	ptvraredmg	Cardiometabolic	AXL:P30530:OID20363:v1:Cardiometabolic	5.93957E-28	1.030116279	17	7173431	7179564
ASGR1	LY9	trans-position, trans-gene	44711	104	44607	1.03e-26	1.035919402	0.846267698	1.225571105	0.096760231	flexdmg	Inflammation	LY9:Q9HBG7:OID20670:v1:Inflammation	1.0381E-27	1.035528871	17	7173431	7179564
FUT1	GFRAL	trans-position, trans-gene	43970	203	43767	1.1e-26	0.722841011	0.590426785	0.855255237	0.067557659	flexdmg	NeurologyII	GFRAL:Q6UXV0:OID31091:v1:NeurologyII	8.29907E-29	0.728699075	19	48748011	48755390
MFGE8	MFGE8	cis-position, cis-gene	45260	265	44995	1.15e-26	-0.643969007	-0.761980675	-0.525957339	0.06020953	flexdmg	Neurology	MFGE8:Q08431:OID21134:v1:Neurology	5.60673E-27	-0.614147874	15	88898683	88913381
LILRA2	LILRA2	cis-position, cis-gene	45260	88	45172	1.23e-26	-1.084673491	-1.283558134	-0.885788847	0.101470907	rec	Neurology	LILRA2:Q8N149:OID21152:v1:Neurology	1.73394E-28	-1.000713733	19	54572920	54590287
VWF	VWF	cis-position, cis-gene	45810	83	45727	1.24e-26	-1.157250764	-1.36946403	-0.945037499	0.108271202	ptv	Cardiometabolic	VWF:P04275:OID20256:v1:Cardiometabolic	8.05276E-28	-1.158694656	12	5948877	6124770
CD59	CD59	cis-position, cis-gene	43637	8	43629	1.28e-26	-3.438163705	-4.068813066	-2.807514343	0.321756862	ptv	Cardiometabolic	CD59:P13987:OID20339:v1:Cardiometabolic	1.20663E-26	-3.436931409	11	33703010	33736479
ASGR1	TYRO3	trans-position, trans-gene	45276	106	45170	1.33e-26	1.034581838	0.844746491	1.224417185	0.096853958	ptvraredmg	Cardiometabolic	TYRO3:Q06418:OID20161:v1:Cardiometabolic	4.31097E-29	1.05670283	17	7173431	7179564
ASGR1	PDCD1LG2	trans-position, trans-gene	45042	104	44938	1.44e-26	1.034701893	0.844715889	1.224687896	0.09693081	flexdmg	Oncology	PDCD1LG2:Q9BQ51:OID21273:v1:Oncology	8.49813E-28	1.036127573	17	7173431	7179564
DBH	DBH	cis-position, cis-gene	45591	425	45166	1.5e-26	-0.515149677	-0.609772517	-0.420526837	0.048276564	flexnonsynmtr	InflammationII	DBH:P09172:OID30703:v1:InflammationII	8.31261E-30	-0.523480921	9	133636363	133659329
ASGR1	ERBB4	trans-position, trans-gene	45388	104	45284	1.55e-26	1.015122479	0.82861347	1.201631487	0.095156868	flexdmg	Oncology	ERBB4:Q15303:OID21510:v1:Oncology	8.6369E-28	1.017608289	17	7173431	7179564
TET2	CD1C	trans-position, trans-gene	45388	75	45313	1.6e-26	1.188696061	0.97022966	1.407162462	0.111461524	ptv	Oncology	CD1C:P29017:OID21483:v1:Oncology	2.8676E-26	1.172383114	4	105145875	105279816
ASGR1	LYPD3	trans-position, trans-gene	45027	103	44924	1.85e-26	1.028098119	0.838908678	1.21728756	0.096524403	ptvraredmg	Oncology	LYPD3:O95274:OID21530:v1:Oncology	1.25948E-27	1.034901128	17	7173431	7179564
CDH17	CDH17	cis-position, cis-gene	45276	205	45071	1.87e-26	-0.727032873	-0.860835161	-0.593230585	0.068265902	flexdmg	Cardiometabolic	CDH17:Q12864:OID20134:v1:Cardiometabolic	1.13572E-25	-0.682656586	8	94127162	94217303
SAMD9L	SAMD9L	cis-position, cis-gene	45190	227	44963	2.15e-26	-0.695183456	-0.823280236	-0.567086676	0.06535495	flexdmg	Inflammation	SAMD9L:Q8IVG5:OID20536:v1:Inflammation	1.16497E-28	-0.701598692	7	93130056	93148385
KAZALD1	KAZALD1	cis-position, cis-gene	45042	101	44941	2.49e-26	-1.048121747	-1.241501494	-0.854742	0.098662297	flexdmg	Oncology	KAZALD1:Q96I82:OID21339:v1:Oncology	4.14316E-29	-1.060008366	10	101061989	101068131
ADGRD1	ADGRD1	cis-position, cis-gene	44654	118	44536	2.55e-26	-0.877105439	-1.038963405	-0.715247472	0.082579873	ptvraredmg	InflammationII	ADGRD1:Q6QNK2:OID30588:v1:InflammationII	3.10776E-30	-0.872001706	12	130953907	131141469
CPB1	CPB1	cis-position, cis-gene	45810	100	45710	3.23e-26	-1.039256148	-1.231437527	-0.847074769	0.098050934	ptvraredmg	Cardiometabolic	CPB1:P15086:OID20289:v1:Cardiometabolic	1.38834E-29	-1.059593126	3	148791102	148860187
ASGR1	ITGAV	trans-position, trans-gene	45621	104	45517	3.28e-26	0.987294293	0.804697143	1.169891444	0.093161051	flexdmg	Oncology	ITGAV:P06756:OID21416:v1:Oncology	9.33432E-26	0.957696571	17	7173431	7179564
TGFBI	TGFBI	cis-position, cis-gene	44984	11	44973	3.34e-26	-3.12505608	-3.703126575	-2.546985585	0.294931406	ptv	Cardiometabolic	TGFBI:Q15582:OID20417:v1:Cardiometabolic	3.38297E-26	-3.121507662	5	136028988	136063818
TPK1	TPK1	cis-position, cis-gene	45616	59	45557	3.41e-26	-1.359741956	-1.611308638	-1.108175275	0.128349299	ptvraredmg	CardiometabolicII	TPK1:Q9H3S4:OID30338:v1:CardiometabolicII	3.42739E-31	-1.434142732	7	144451941	144836395
TGM2	TGM2	cis-position, cis-gene	45202	198	45004	4.1e-26	-0.73220035	-0.867888929	-0.596511771	0.069228284	ptvraredmg	Cardiometabolic	TGM2:P21980:OID20141:v1:Cardiometabolic	6.95791E-31	-0.749468709	20	38127385	38166578
CLEC4A	CLEC4A	cis-position, cis-gene	45190	69	45121	4.12e-26	-1.237805105	-1.467200396	-1.008409813	0.117037429	flexnonsynmtr	Inflammation	CLEC4A:Q9UMR7:OID20573:v1:Inflammation	4.72042E-31	-1.296552584	12	8123617	8138607
STAB1	SPP1	trans-position, trans-gene	45739	727	45012	5.19e-26	0.373377572	0.304039385	0.442715759	0.03537634	ptvraredmg	Cardiometabolic	SPP1:P10451:OID20322:v1:Cardiometabolic	5.28711E-30	0.377762036	3	52495338	52524495
FUT1	PTPRM	trans-position, trans-gene	45115	208	44907	5.71e-26	0.710844193	0.578725832	0.842962553	0.067406756	flexdmg	Inflammation	PTPRM:P28827:OID20598:v1:Inflammation	6.01985E-28	0.718639168	19	48748011	48755390
GPHA2	GPHA2	cis-position, cis-gene	45423	88	45335	5.73e-26	-1.084424637	-1.285986046	-0.882863228	0.102836602	flexnonsynmtr	OncologyII	GPHA2:Q96T91:OID31437:v1:OncologyII	4.17302E-25	-0.992590088	11	64934471	64935893
CD209	CD209	cis-position, cis-gene	45361	102	45259	6.45e-26	-1.021147271	-1.211146859	-0.831147684	0.096937758	flexnonsynmtr	Cardiometabolic	CD209:Q9NNX6:OID20262:v1:Cardiometabolic	2.54739E-29	-1.026749451	19	7739993	7747564
MEP1A	MEP1A	cis-position, cis-gene	45423	119	45304	7.3e-26	-0.923642324	-1.095690016	-0.751594631	0.087778708	ptvraredmg	OncologyII	MEP1A:Q16819:OID31459:v1:OncologyII	2.44029E-25	-0.885463467	6	46793389	46839778
STAB1	PTS	trans-position, trans-gene	44015	708	43307	7.63e-26	0.387763104	0.315506425	0.460019784	0.036865316	ptvraredmg	Neurology	PTS:Q03393:OID20847:v1:Neurology	6.44911E-28	0.377411338	3	52495338	52524495
ENDOU	ENDOU	cis-position, cis-gene	42534	35	42499	1.08e-25	-1.554797135	-1.845418347	-1.264175923	0.148274632	ptv	OncologyII	ENDOU:P21128:OID31498:v1:OncologyII	2.31904E-27	-1.521790665	12	47709734	47725567
STAB2	FBLN2	trans-position, trans-gene	45606	989	44617	1.13e-25	0.316015038	0.256919004	0.375111072	0.030150791	flexdmg	CardiometabolicII	FBLN2:P98095:OID30378:v1:CardiometabolicII	5.04303E-28	0.314390813	12	103587273	103766719
TIMP1	TIMP1	cis-position, cis-gene	44776	149	44627	1.14e-25	0.829533718	0.6743933	0.984674135	0.079152588	rec	Cardiometabolic	TIMP1:P01033:OID20418:v1:Cardiometabolic	2.0464E-21	0.721658937	X	47582408	47586789
ASGR1	LRRC25	trans-position, trans-gene	45042	104	44938	1.15e-25	1.00835738	0.819762739	1.196952021	0.096220937	ptvraredmg	Oncology	LRRC25:Q8N386:OID21333:v1:Oncology	1.67903E-25	0.979802733	17	7173431	7179564
SERPINA3	SERPINA3	cis-position, cis-gene	45539	22	45517	1.2e-25	-2.205390455	-2.618039797	-1.792741114	0.210533649	ptv	InflammationII	SERPINA3:P01011:OID30786:v1:InflammationII	1.36891E-28	-2.189594155	14	94612384	94624055
C1QTNF5	C1QTNF5	cis-position, cis-gene	44654	57	44597	1.22e-25	-1.377318338	-1.635070276	-1.119566401	0.131504941	flexdmg	InflammationII	C1QTNF5:Q9BXJ0:OID30618:v1:InflammationII	5.83312E-32	-1.407755138	11	119338942	119340940
THBS2	THBS2	cis-position, cis-gene	45260	20	45240	1.36e-25	-2.294272609	-2.724044679	-1.86450054	0.219269627	ptv	Neurology	THBS2:P35442:OID21104:v1:Neurology	2.00874E-27	-2.331815773	6	169215780	169254050
CFH	CFH	cis-position, cis-gene	43171	16	43155	1.37e-25	-2.566399274	-3.047141079	-2.08565747	0.245274058	ptv	InflammationII	CFH:P08603:OID30790:v1:InflammationII	2.72024E-27	-2.57217563	1	196651754	196752476
ASGR1	IL1RL1	trans-position, trans-gene	45667	106	45561	1.46e-25	0.933131506	0.758220868	1.108042144	0.089239395	flexdmg	Cardiometabolic	IL1RL1:Q01638:OID20250:v1:Cardiometabolic	4.6818E-27	0.93956578	17	7173431	7179564
HS1BP3	HS1BP3	cis-position, cis-gene	44457	83	44374	1.47e-25	-1.136814309	-1.349910194	-0.923718424	0.108721427	flexdmg	CardiometabolicII	HS1BP3:Q53T59:OID30243:v1:CardiometabolicII	2.99437E-26	-1.090148815	2	20560448	20651130
VSIG2	VSIG2	cis-position, cis-gene	45424	69	45355	1.5e-25	-1.20184493	-1.427172766	-0.976517095	0.114962229	flexdmg	OncologyII	VSIG2:Q96IQ7:OID31371:v1:OncologyII	4.20286E-24	-1.077259699	11	124747474	124752255
KLF1	ARG1	trans-position, trans-gene	44950	39	44911	1.56e-25	-1.632622159	-1.938819592	-1.326424726	0.156221842	ptvraredmg	Oncology	ARG1:P05089:OID21445:v1:Oncology	6.26646E-25	-1.490268075	19	12884422	12887203
CFHR5	CFHR4	cis-position, trans-gene	45608	286	45322	1.78e-25	-0.616507381	-0.732273933	-0.500740829	0.059064085	rec	InflammationII	CFHR4:Q92496:OID30758:v1:InflammationII	4.02435E-29	-0.641739796	1	196975010	197009678
MAN1A2	MAN1A2	cis-position, cis-gene	44457	42	44415	2e-25	-1.513387416	-1.797871049	-1.228903782	0.145143425	UR	CardiometabolicII	MAN1A2:O60476:OID30262:v1:CardiometabolicII	7.76169E-27	-1.503253795	1	117367449	117528872
ADAM9	CRIM1	trans-position, trans-gene	45452	91	45361	2.16e-25	-1.046812795	-1.243733742	-0.849891849	0.10046904	ptvraredmg	Inflammation	CRIM1:Q9NZV1:OID20701:v1:Inflammation	4.4647E-26	-1.02559106	8	38996754	39105445
FRZB	FRZB	cis-position, cis-gene	44765	40	44725	2.18e-25	-1.571899683	-1.867610992	-1.276188374	0.150871808	ptv	Neurology	FRZB:Q92765:OID20968:v1:Neurology	1.94269E-26	-1.58512184	2	182833275	182866637
ASGR1	PODXL	trans-position, trans-gene	45042	104	44938	2.32e-25	1.019490809	0.827584345	1.211397272	0.097910628	flexdmg	Oncology	PODXL:O00592:OID21358:v1:Oncology	2.21571E-25	0.996733613	17	7173431	7179564
PLB1	PLB1	cis-position, cis-gene	45493	356	45137	2.45e-25	-0.522453609	-0.62084614	-0.424061079	0.050199857	ptvraredmg	NeurologyII	PLB1:Q6P1J6:OID31110:v1:NeurologyII	2.09429E-28	-0.520981914	2	28457145	28644142
CTHRC1	CTHRC1	cis-position, cis-gene	45606	104	45502	2.49e-25	-0.898713758	-1.067996124	-0.729431393	0.086367848	ptvraredmg	CardiometabolicII	CTHRC1:Q96CG8:OID30393:v1:CardiometabolicII	2.42832E-26	-0.887761048	8	103371538	103382989
PRELP	PRELP	cis-position, cis-gene	45225	77	45148	2.63e-25	-1.107490783	-1.316201934	-0.898779631	0.106484387	ptvraredmg	Inflammation	PRELP:P51888:OID20766:v1:Inflammation	1.59513E-30	-1.138277933	1	203475806	203491352
CRTAM	CRTAM	cis-position, cis-gene	44914	92	44822	2.86e-25	-1.058755749	-1.258429895	-0.859081602	0.10187369	flexdmg	Neurology	CRTAM:O95727:OID20914:v1:Neurology	1.26037E-27	-1.029933745	11	122838500	122872643
PLIN3	PLIN3	cis-position, cis-gene	45276	29	45247	3e-25	-1.899842239	-2.258302503	-1.541381975	0.182886359	ptv	Cardiometabolic	PLIN3:O60664:OID20143:v1:Cardiometabolic	9.2325E-29	-1.909796321	19	4838341	4867694
KLB	KLB	cis-position, cis-gene	44217	133	44084	3.05e-25	-0.895376973	-1.064338497	-0.726415449	0.086204082	flexdmg	Neurology	KLB:Q86Z14:OID20888:v1:Neurology	4.37435E-28	-0.91700457	4	39406930	39451533
LAYN	LAYN	cis-position, cis-gene	44842	162	44680	3.31e-25	-0.749197312	-0.89068365	-0.607710974	0.072186284	flexnonsynmtr	Neurology	LAYN:Q6UX15:OID20970:v1:Neurology	2.52332E-27	-0.7450372	11	111540280	111561745
ESAM	ESAM	cis-position, cis-gene	45810	116	45694	3.85e-25	-0.926400093	-1.101597148	-0.751203039	0.089385532	flexnonsynmtr	Cardiometabolic	ESAM:Q96AP7:OID20270:v1:Cardiometabolic	1.65209E-24	-0.852117299	11	124752583	124762290
SPON1	SPON1	cis-position, cis-gene	45300	213	45087	5.05e-25	-0.663233688	-0.788976183	-0.537491192	0.064153799	flexdmg	Inflammation	SPON1:Q9HCB6:OID20759:v1:Inflammation	1.52601E-27	-0.658119488	11	13962723	14268133
ARSA	ARSA	cis-position, cis-gene	45260	322	44938	5.11e-25	-0.558575494	-0.664487737	-0.45266325	0.054036406	flexdmg	Neurology	ARSA:P15289:OID21138:v1:Neurology	6.26578E-25	-0.533018988	22	50622754	50628173
DNMBP	DNMBP	cis-position, cis-gene	44914	213	44701	5.2e-25	-0.689969548	-0.820817182	-0.559121913	0.066758424	flexdmg	Neurology	DNMBP:Q6XZF7:OID20956:v1:Neurology	1.50243E-24	-0.632704664	10	99875577	100009947
ASGR1	SIGLEC7	trans-position, trans-gene	45276	106	45170	5.64e-25	0.959540669	0.777432763	1.141648575	0.092911419	ptvraredmg	Cardiometabolic	SIGLEC7:Q9Y286:OID20190:v1:Cardiometabolic	5.96215E-24	0.920380184	17	7173431	7179564
ASGR1	LILRA2	trans-position, trans-gene	45260	103	45157	5.68e-25	0.968969989	0.785061714	1.152878264	0.093829966	flexdmg	Neurology	LILRA2:Q8N149:OID21152:v1:Neurology	1.59361E-23	0.928243773	17	7173431	7179564
LRPAP1	LRP1	trans-position, trans-gene	45042	165	44877	5.79e-25	0.773502869	0.626668337	0.9203374	0.07491494	flexdmg	Oncology	LRP1:Q07954:OID21293:v1:Oncology	2.39908E-24	0.726650438	4	3503612	3532446
C1orf56	MENT	cis-position, cis-gene	44654	97	44557	6.14e-25	-0.986547187	-1.173927858	-0.799166516	0.095601547	flexnonsynmtr	InflammationII	MENT:Q9BUN1:OID30595:v1:InflammationII	3.00085E-22	-0.894451788	1	151047783	151051420
C4BPB	C4BPB	cis-position, cis-gene	45388	13	45375	6.36e-25	-2.743136635	-3.264332579	-2.221940691	0.26591409	ptv	Oncology	C4BPB:P20851:OID21481:v1:Oncology	8.81955E-29	-2.772016939	1	207088860	207099993
CDH3	CDH3	cis-position, cis-gene	45644	205	45439	7e-25	-0.700891312	-0.834179184	-0.56760344	0.068003462	flexdmg	Neurology	CDH3:P22223:OID21008:v1:Neurology	1.81268E-27	-0.697584112	16	68636189	68727468
HIST1H2AD	LRPAP1	trans-position, trans-gene	45644	81	45563	7.86e-25	1.116855612	0.904232664	1.32947856	0.108480212	flexnonsynmtr	Neurology	LRPAP1:P30533:OID21059:v1:Neurology	9.21356E-22	0.999191369	6	26198784	26199293
ASGR1	NCR3LG1	trans-position, trans-gene	45423	104	45319	8.01e-25	0.943923001	0.764191635	1.123654367	0.091698917	flexdmg	OncologyII	NCR3LG1:Q68D85:OID31490:v1:OncologyII	1.99089E-24	0.915307667	17	7173431	7179564
ACADSB	ACADSB	cis-position, cis-gene	45616	258	45358	9.2e-25	-0.636380795	-0.757711788	-0.515049802	0.061903062	flexdmg	CardiometabolicII	ACADSB:P45954:OID30356:v1:CardiometabolicII	2.22033E-26	-0.624037466	10	123008979	123058290
MET	MET	cis-position, cis-gene	45373	205	45168	9.63e-25	-0.69447466	-0.826938186	-0.562011133	0.06758287	flexdmg	Cardiometabolic	MET:P08581:OID20269:v1:Cardiometabolic	1.19214E-22	-0.624891029	7	116672196	116798377
SLAMF8	SLAMF8	cis-position, cis-gene	44180	111	44069	9.66e-25	-0.960922346	-1.144209052	-0.777635641	0.093512781	flexnonsynmtr	Oncology	SLAMF8:Q9P0V8:OID21214:v1:Oncology	7.37791E-29	-0.965345082	1	159826811	159837492
TNFSF13	TNFSF13	cis-position, cis-gene	45452	9	45443	1.05e-24	-3.205423858	-3.817298224	-2.593549492	0.312178219	ptv	Inflammation	TNFSF13:O75888:OID20733:v1:Inflammation	1.66E-24	-3.204814861	17	7558292	7561608
